brand,processor_brand,processor_name,ram_gb,ram_type,ssd_gb,hdd_gb,os,os_bit,graphic_card_gb,weight,warranty_years,Touchscreen,msoffice,Price_USD,rating_stars,Number of Ratings,Number of Reviews,,,
Asus,Intel,Core i3,4,DDR4,0,1024,Windows,64,0,Casual,0,No,No,415.79,2,3,0,,,
Lenovo,Intel,Core i3,4,DDR4,0,1024,Windows,64,0,Casual,0,No,No,467.99,3,65,5,,,
Lenovo,Intel,Core i3,4,DDR4,0,1024,Windows,64,0,Casual,0,No,No,479.99,3,8,1,,,
Asus,Intel,Core i5,8,DDR4,512,0,Windows,32,2,Casual,0,No,No,839.88,3,0,0,,,
Asus,Intel,Celeron Dual,4,DDR4,0,512,Windows,64,0,Casual,0,No,No,323.88,3,0,0,,,
Asus,Intel,Celeron Dual,4,DDR4,0,512,Windows,64,0,Casual,0,No,No,275.88,3,0,0,,,
Asus,Intel,Celeron Dual,4,DDR4,0,512,Windows,32,0,Casual,0,No,No,263.88,3,31,3,,,
Asus,Intel,Core i5,8,DDR4,0,1024,Windows,32,2,Casual,0,No,No,705.59,3,0,0,,,
Lenovo,Intel,Core i5,4,DDR4,0,1024,Windows,32,0,Casual,0,No,No,599.99,3,0,0,,,
Acer,AMD,Ryzen 5,4,DDR4,0,512,Windows,32,4,Casual,0,No,No,719.88,4,1946,240,,,
Acer,AMD,Ryzen 5,4,DDR4,0,512,Windows,32,6,Casual,0,No,No,1124.4,4,259,47,,,
Acer,AMD,Ryzen 5,4,DDR4,0,512,Windows,32,4,Casual,0,No,No,875.88,4,425,67,,,
Avita,Intel,Celeron Dual,4,DDR4,0,512,Windows,64,0,Casual,0,No,No,209.88,3,1120,196,,,
Asus,Intel,Celeron Dual,4,DDR4,0,512,Windows,64,0,Casual,0,No,No,275.88,3,0,0,,,
Asus,Intel,Core i3,4,DDR4,256,0,Windows,64,0,Casual,0,No,No,431.88,3,0,0,,,
HP,Intel,Core i3,8,DDR4,256,0,Windows,64,0,Casual,1,Yes,No,677.88,3,0,0,,,
HP,Intel,Core i5,8,DDR4,256,0,Windows,64,0,Casual,1,No,No,784.68,3,0,0,,,
Lenovo,Intel,Celeron Dual,4,DDR4,256,0,Windows,64,0,ThinNlight,0,No,No,383.99,4,286,19,,,
HP,Intel,Celeron Dual,8,DDR4,256,0,Windows,64,0,ThinNlight,0,No,No,389.88,4,58,6,,,
Lenovo,Intel,Celeron Dual,4,DDR4,256,0,Windows,64,0,ThinNlight,0,No,No,381.59,3,0,0,,,
Asus,Intel,Celeron Dual,4,DDR4,256,0,Windows,64,0,Casual,0,No,No,358.68,4,7,0,,,
Asus,Intel,Celeron Dual,4,DDR4,0,1024,Windows,64,0,Casual,1,No,No,287.88,3,15279,1947,,,
HP,Intel,Core i3,4,DDR4,0,1024,Windows,64,0,Casual,0,No,No,395.46,4,311,27,,,
HP,Intel,Core i5,4,DDR4,0,1024,Windows,32,2,Casual,0,No,No,554.4,4,47,7,,,
Asus,Intel,Core i3,4,DDR4,256,0,Windows,64,0,ThinNlight,0,No,No,413.15,4,37,6,,,
Lenovo,Intel,Core i3,8,DDR4,256,0,Windows,32,0,ThinNlight,2,No,Yes,455.88,4,2080,235,,,
Asus,Intel,Core i3,4,DDR4,256,0,Windows,32,0,Casual,1,No,Yes,431.88,4,1479,181,,,
Asus,Intel,Core i3,8,DDR4,256,0,Windows,64,0,ThinNlight,0,No,No,407.76,4,67,3,,,
HP,Intel,Core i3,8,DDR4,256,0,Windows,64,0,ThinNlight,1,No,Yes,479.88,4,273,30,,,
Dell,Intel,Core i3,8,DDR4,256,0,Windows,64,0,ThinNlight,1,No,Yes,473.88,4,1267,171,,,
HP,Intel,Core i3,8,DDR4,256,0,Windows,64,0,Casual,1,Yes,Yes,647.88,4,14,0,,,
Acer,Intel,Core i3,8,DDR4,256,0,Windows,64,0,ThinNlight,1,No,No,467.88,3,0,0,,,
Asus,Intel,Core i3,8,DDR4,256,0,Windows,64,0,ThinNlight,1,No,No,455.88,4,284,39,,,
Asus,Intel,Core i3,8,DDR4,256,0,Windows,64,0,Casual,1,No,Yes,454.68,4,44,5,,,
